_id,GEOIDFQ,OBJECTID,agency,change_log,comments,county,direction,empty_feat,end_date,feed_version,from_gtfs,hood,mode,muni,munihood_display,munihood_full,route_code,route_filter,route_sort,start_date,status_code,status_end_date,status_notes,status_start_date,stop_code,stop_id,stop_lat,stop_lon,stop_name,stop_route,svc_days,trips_7d,trips_sa,trips_su,trips_wd,geometry
2866,1000000US420034311002000,312462,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Bellevue borough (Allegheny, PA)",Bellevue bgh,"Bellevue bgh, Allegheny County",19L,All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,1672,N24220,40.491966,-80.048481,GRANT AVE AT LINCOLN AVE,N24220,WD,30,0,0,6,POINT (580636.0807880759239197 4482797.7592385672032833)
2867,1000000US420034311002000,312464,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Bellevue borough (Allegheny, PA)",Bellevue bgh,"Bellevue bgh, Allegheny County",19L,All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,1671,N24250,40.490874,-80.049883,GRANT AVE AT WASHINGTON AVE FS,N24250,WD,30,0,0,6,POINT (580518.5724700163118541 4482675.2645214078947902)
2868,1000000US420034311002019,312466,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Bellevue borough (Allegheny, PA)",Bellevue bgh,"Bellevue bgh, Allegheny County",19L,All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,1669,N24280,40.489448,-80.051722,GRANT AVE OPP JEFFERSON AVE,N24280,WD,30,0,0,6,POINT (580364.4236156961414963 4482515.2989181438460946)
2869,1000000US420034311002028,312468,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"Bellevue borough (Allegheny, PA)",Bellevue bgh,"Bellevue bgh, Allegheny County",19L,All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,1667,N24290,40.4884,-80.053093,GRANT AVE OPP LAUREL AVE,N24290,WD,30,0,0,6,POINT (580249.4811982646351680 4482397.7209374634549022)
846,1000000US420035644004011,306851,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"North Versailles township (Allegheny, PA)",North Versailles twp,"North Versailles twp, Allegheny County",P76,All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,11135,E36440,40.370471,-79.786099,LINCOLN HWY OPP LEUHM ST,E36440,WD,40,0,0,8,POINT (603057.3374082524096593 4469584.3870256319642067)
845,1000000US420035644003001,306849,PRT,,,"Allegheny County, PA",OB,0,2099-12-31T06:00:00,2602,1,,BUS,"North Versailles township (Allegheny, PA)",North Versailles twp,"North Versailles twp, Allegheny County",P76,All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,11165,E36435,40.377604,-79.802254,LINCOLN HWY OPP ISAAC ST,E36435,WD,35,0,0,7,POINT (601675.0597941162995994 4470357.4602188942953944)
2873,1000000US420034135001005,312476,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"McCandless township (Allegheny, PA)",McCandless twp,"McCandless twp, Allegheny County",O5,All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,18699,N25430,40.587194,-79.999078,HEMLOCK DR AT BABCOCK BLVD,N25430,WD,15,0,0,3,POINT (584702.7456558175617829 4493414.7028593262657523)
2874,1000000US420034141023017,312478,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"Hampton township (Allegheny, PA)",Hampton twp,"Hampton twp, Allegheny County",O5,All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,18695,N25437,40.577244,-79.979532,HEMLOCK DR AT LAUREL OAK DR,N25437,WD,15,0,0,3,POINT (586369.6458968016086146 4492329.1969154570251703)
2875,1000000US420034141023017,312480,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"Hampton township (Allegheny, PA)",Hampton twp,"Hampton twp, Allegheny County",O5,All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,1085,N25441,40.578872,-79.980699,HEMLOCK DR AT #4424,N25441,WD,15,0,0,3,POINT (586268.7810651494655758 4492508.7677782522514462)
2876,1000000US420034135001005,312482,PRT,,,"Allegheny County, PA",IB,0,2099-12-31T06:00:00,2602,1,,BUS,"McCandless township (Allegheny, PA)",McCandless twp,"McCandless twp, Allegheny County",O5,All Routes,0,2026-02-22T06:00:00,1,2099-12-31T06:00:00,,1970-01-01T06:00:00,504,N25450,40.586694,-79.996333,HEMLOCK DR AT NORTH PARK POOL PARK AND RIDE,N25450,WD,15,0,0,3,POINT (584935.6768182867672294 4493361.8448954420164227)
